               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11466,            0.050973,            0.079271,                   0,                   0,                   0,                   0,             0.10712,            0.027194,            0.080938,                 0.1,                   0,                   0
                   1,             0.11246,            0.042746,            0.080042,                   0,                   0,                   0,                   0,             0.10692,            0.027917,            0.081398,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.11569,            0.036329,            0.081192,                   0,                   0,                   0,                   0,             0.10617,            0.028326,            0.081124,            0.098199,          0.00019921,          0.00019921
                   3,              0.1096,            0.048462,            0.080572,                   0,                   0,                   0,                   0,             0.10483,            0.028958,            0.080776,            0.097298,          0.00029822,          0.00029822
                   4,             0.11291,            0.049953,            0.080637,            0.002193,            0.026316,           0.0013649,          0.00013649,              0.1034,            0.029678,            0.080332,            0.096397,          0.00039683,          0.00039683
                   5,             0.11026,            0.058964,            0.079214,                   0,                   0,                   0,                   0,             0.10174,            0.030447,            0.079801,            0.095495,          0.00049505,          0.00049505
                   6,              0.1137,            0.047675,              0.0789,                   0,                   0,                   0,                   0,             0.10002,            0.031229,            0.079285,            0.094593,          0.00059287,          0.00059287
                   7,             0.11027,            0.055452,            0.078155,            0.003268,            0.038462,           0.0017629,          0.00088144,            0.097998,            0.032224,            0.078695,             0.09369,           0.0006903,           0.0006903
                   8,             0.10314,            0.059185,            0.077485,           0.0032468,            0.038462,           0.0019079,           0.0011448,            0.095503,             0.03335,            0.078021,            0.092787,          0.00078733,          0.00078733
                   9,             0.10967,            0.057247,            0.077152,             0.00829,             0.10324,           0.0060265,           0.0022851,            0.093155,             0.03452,            0.077347,            0.091884,          0.00088396,          0.00088396
                  10,             0.10949,            0.039172,            0.076943,           0.0084675,             0.10324,           0.0087711,           0.0037438,            0.090928,            0.035561,             0.07671,             0.09098,           0.0009802,           0.0009802
                  11,              0.1079,            0.043209,            0.076585,           0.0099926,             0.12955,            0.012345,           0.0056067,            0.088616,            0.036692,            0.076076,            0.090076,            0.001076,            0.001076
                  12,             0.10455,            0.056941,            0.074845,            0.014541,             0.19433,             0.02373,            0.010847,            0.086361,            0.037731,            0.075291,            0.089171,           0.0011715,           0.0011715
                  13,             0.10658,            0.068236,            0.074399,            0.014333,             0.19433,            0.038562,             0.01838,            0.084456,             0.03858,            0.074497,            0.088267,           0.0012665,           0.0012665
